index,frb_name,fingerprint,name,fluence
0,FRB20180725A,0d0b7f12677d7040aa03f6711371473937febff19c425f84dd324896af77e1bf,FRB20180725A,1.7
1,FRB20180727A,7e3df6eeec9b3fca0a4435b672da2b9f2d217dbe70e86b6a83a4e4c1e11b8d1f,FRB20180727A,0.6
2,FRB20180729A,92d365bf3c75236ee7b9ec74c7be7832ac76243df4ff7743a5c35f5ee33c4309,FRB20180729A,11.7
3,FRB20180729B,f7d65097fcef6dca74519f34e1b536a5cc4f04f3761b187bf5ecd00558e8b5c8,FRB20180729B,0.9
4,FRB20180730A,db4066b396d11b0f2da823051c9a1e53fd1de52a48c8c3d1d85e1610bb8914e8,FRB20180730A,5.2
5,FRB20180801A,8c4c3b083439f7f17df8bcf9d5c50ddbb9d5a9f29c4a69a7b6f51b8cedaffb5d,FRB20180801A,1.1
6,FRB20180806A,0c5c2b0f2e859b8f5b24cb7fb90e295be737874593b4688603eac12d0f0a1a2b,FRB20180806A,1.9
7,FRB20180810A,6497eb5dfb5b249e00a467ceade681236fe9a5b03041c608c10e140e9a03f603,FRB20180810A,1.1
8,FRB20180810B,7221b1f8be0993cacfddf7c3140d6425d9a294d9de8dd8c467bc35dd65e3ad43,FRB20180810B,5.2
9,FRB20180812A,9044d3b8c51672711b604b9b88c1d1fcc120dce58f5be2c57eac2342d8cbabb3,FRB20180812A,0.9
10,FRB20180814B,17580c1f636040572b799ff0c8c665994f8ac313d50cef89ae2556e3eaef8ebc,FRB20180814B,3.4
11,FRB20180814B,17580c1f636040572b799ff0c8c665994f8ac313d50cef89ae2556e3eaef8ebc,FRB20180814B,3.4
12,FRB20180814A,e766a16e350a6e2262307b982f32a158690ba3c1afe67a709654f557f8907f90,FRB20180814A,0.4
13,FRB20180817A,b961fa43bb831b12fc3b2ab8896437b1f4f98f857525bac5b46954c783ab6495,FRB20180817A,2.4
14,FRB20180904A,b973bb928541e222be1aed0da913e206bb4be45db14c92446c07ffd77f514d79,FRB20180904A,3.8
15,FRB20180906A,3427397818920d83bb5ebe9a90e14cc7573c530962c4f26571e12cb83ddf3406,FRB20180906A,1.6
16,FRB20180906B,a706b0d5390d0052c2806806ef5c44cdbc8ad39c9a79d2c477af941eafa1f753,FRB20180906B,0.4
17,FRB20180907D,ec72a3922a86e03aadf14936924c3421637863f6ddf30010e46c0043c6d24872,FRB20180907D,0.9
18,FRB20180907A,164d57911e9fc6e7ee93f9f369a390f9c9274dfc2c31f428fa9d79c7b0428bea,FRB20180907A,0.9
19,FRB20180907B,a0ef84b246369db92242945d310c4c79499abe39b1451bd97cbaec1f0941766d,FRB20180907B,1.1
20,FRB20180907C,3607dcf48a7d8e2408db1a2dfbb4fc0dc6aff27df7881e86b779f4f233ef338b,FRB20180907C,1.1
21,FRB20180907E,f0f3730b41df8c951a07befe9a1e55240d7cc2dfb53f9d212a7fd4c85774a85a,FRB20180907E,0.7
22,FRB20180908B,1831da84d677fb88cec4692925c747f97bc36e7c5bd412affbb807cb971222e2,FRB20180908B,1.2
23,FRB20180909A,3083e152aa178efb73c7b35b29006f7f0aa55f9690ba3b9b33c571f18e8f9123,FRB20180909A,0.3
24,FRB20180910A,59e60968458c53262ac7c0ba43d6601f508da2242bacdf83f21d144de6648c98,FRB20180910A,6.5
25,FRB20180911C,36a6c05eeb3b28927bb022b4dc6959737b0ee75b7a558c688a75ff6f6e93b8ba,FRB20180911C,1.0
26,FRB20180911A,95e911d062de7f992996cc9126d0dcc7308bb827bf1a1897425d5eefc5e91606,FRB20180911A,1.6
27,FRB20180915A,883c7eb1a0c21e16042945d5aedcd358e638fa53714abcfdeea361f91cc95dff,FRB20180915A,2.3
28,FRB20180915B,369e8bf1711e8ee5bd824d6874e0148ca2c653ad8bbe3ffd9d700d69b8506a73,FRB20180915B,1.0
29,FRB20180916A,46df8259a3d57c9753751ae272e6a8c2fb6e2cf6233ac56b10442443e3d656ae,FRB20180916A,2.4
