index,frb_name,fingerprint,name,timestamp,dm,fluence,width_ms,scattering_ms,ra,dec,snr,peak_freq
0,FRB20180725A,6b8b15267ec67ecfcc6fcfeaa9e8b8c88ec45accc85fc0f8e2c8c9081cb04770,FRB20180725A,2018-07-25T17:59:42.996990,715.8093,4.1,0.000296,0.0011,93.42,67.07,33.2,607.4
1,FRB20180727A,e662aecc177278a0bc81eb4cfaeb5cd380c09b7564a2858ff9599fcfc51e58fb,FRB20180727A,2018-07-27T00:52:13.000901,642.134,2.3,0.00139,,197.72,26.42,12.2,493.3
2,FRB20180729A,d3303340a3ff2fcb0ba6136c843a1f19e61cf695b9151464dba57f362f1c1e21,FRB20180729A,2018-07-29T00:48:19.998574,109.5942,17.0,0.00098,0.00016,199.4,55.58,206.6,525.6
3,FRB20180729B,033d1deac15d95287f054f163c52844a688cd6ee6d3741bba1f556128f251768,FRB20180729B,2018-07-29T17:28:21.999162,317.2235,1.2,0.000314,0.00066,89.93,56.5,22.0,657.5
4,FRB20180730A,a1bfb92de6935a8ce8bdc57511963709b52f39e7403b83f58489ee577059ba3e,FRB20180730A,2018-07-30T03:37:38.000608,848.9041,27.0,0.000468,0.00207,57.39,87.19,89.8,483.5
5,FRB20180801A,2ab35da88e392d71dd46362a69a1d7545f9768551d79eb911e4da3f194a50497,FRB20180801A,2018-08-01T08:47:23.988950,655.728,7.9,0.00058,0.00554,322.53,72.72,40.9,595.6
6,FRB20180806A,7681a3891ed3c04c5faa70f532b0e5124eeeabb6219b88b73b9676db67846a8d,FRB20180806A,2018-08-06T14:13:13.000175,739.9482,7.6,0.00141,,228.56,75.62,14.4,665.3
7,FRB20180810A,5b88bb6ddf4865c55dddbbd1a4dffc928a60b0d90d4e90f84bdca5369cd87a04,FRB20180810A,2018-08-10T17:29:00.001277,414.8804,1.7,0.000322,0.00025,101.47,34.86,16.5,552.9
8,FRB20180810B,45ebfd33d1f3383d510ad9a38d01f6a6f9ebceca2e5423d4c701fe8cd2c82e53,FRB20180810B,2018-08-10T22:40:44.000440,169.1385,7.9,0.000311,0.0002,180.41,83.14,55.1,400.2
9,FRB20180812A,aba2dbc048244b08a8370543b5c0ff1f4f08069a864d0335692ad648a69fcda2,FRB20180812A,2018-08-12T11:45:43.998981,802.451,5.4,0.00786,0.00281,19.33,80.78,20.5,400.2
10,FRB20180814B,61cecd2f8fddb11b19862248edbd5d311c75f56a70930824cf5091289c412769,FRB20180814B,2018-08-14T14:20:16.997885,238.3474,10.6,0.000764,,238.26,74.02,24.4,800.2
11,FRB20180814B,6e3f4ba2cb510bbf349b8a204ab1d1a55793007b75deaddad65bcf3d8c059257,FRB20180814B,2018-08-14T14:20:17.000805,238.3474,10.6,0.00083,,238.26,74.02,24.4,800.2
12,FRB20180814A,55d471dae892932dfe0852357ee1af7b13a3ace8d16708732eb21987bff3dd38,FRB20180814A,2018-08-14T14:49:49.994996,189.286,2.6,0.00254,,65.54,73.63,22.1,464.2
